City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.42,19.23,57.0,77,0,5.01,clear sky
1,Poum,NC,-20.23,164.02,77.9,78,41,22.79,scattered clouds
2,Kurilsk,RU,45.23,147.88,46.15,71,84,7.25,broken clouds
3,Butaritari,KI,3.07,172.79,81.25,75,100,15.48,overcast clouds
4,Hammerfest,NO,70.66,23.68,39.2,80,54,16.11,broken clouds
5,Los Llanos De Aridane,ES,28.66,-17.92,77.0,33,0,9.17,clear sky
6,Rikitea,PF,-23.12,-134.97,75.24,69,0,6.87,clear sky
7,Kapaa,US,22.08,-159.32,82.0,78,1,6.87,clear sky
8,Oranjestad,AW,12.52,-70.03,84.2,79,20,13.87,few clouds
9,Mataura,NZ,-46.19,168.86,55.99,70,29,7.0,scattered clouds
10,Kloulklubed,PW,7.04,134.26,84.43,77,100,16.33,moderate rain
11,Port Elizabeth,ZA,-33.92,25.57,62.01,82,89,9.75,overcast clouds
12,Hue,VN,16.47,107.6,78.8,88,75,8.05,broken clouds
13,Taoudenni,ML,22.68,-3.98,81.77,16,100,10.65,overcast clouds
14,Padang,ID,-0.95,100.35,77.5,79,100,4.68,moderate rain
15,Half Moon Bay,US,37.46,-122.43,73.0,72,5,4.7,clear sky
16,Yellowknife,CA,62.46,-114.35,21.2,85,90,14.99,light snow
17,Puerto Ayora,EC,-0.74,-90.35,77.0,73,75,16.11,broken clouds
18,Mahebourg,MU,-20.41,57.7,66.2,82,40,5.82,scattered clouds
19,Vaini,TO,-21.2,-175.2,73.4,88,90,11.41,light intensity shower rain
20,Longyearbyen,SJ,78.22,15.64,24.8,73,75,11.41,broken clouds
21,Ushuaia,AR,-54.8,-68.3,55.4,58,90,4.7,light intensity drizzle
22,Bluff,NZ,-46.6,168.33,55.99,70,94,7.0,overcast clouds
23,Jamestown,US,42.1,-79.24,44.01,64,75,8.05,broken clouds
24,Paderborn,DE,51.72,8.75,57.2,58,0,10.29,clear sky
25,Saint-Philippe,RE,-21.36,55.77,66.2,59,0,3.36,clear sky
26,Thompson,CA,55.74,-97.86,19.4,67,75,17.22,broken clouds
27,Cidreira,BR,-30.18,-50.21,66.24,65,73,10.0,broken clouds
28,Camacha,PT,33.08,-16.33,68.0,88,20,6.93,few clouds
29,Ankang,CN,32.68,109.02,57.54,73,98,1.12,overcast clouds
30,Busselton,AU,-33.65,115.33,60.01,77,100,8.16,light rain
31,Punta Arenas,CL,-53.15,-70.92,59.0,54,75,19.46,broken clouds
32,Khomeyn,IR,33.64,50.08,49.55,43,0,0.67,clear sky
33,Tuktoyaktuk,CA,69.45,-133.04,-2.2,84,40,4.7,scattered clouds
34,Clacton-On-Sea,GB,51.79,1.16,52.0,95,50,18.52,scattered clouds
35,Faanui,PF,-16.48,-151.75,79.12,73,0,19.17,clear sky
36,Oistins,BB,13.07,-59.53,80.6,83,75,17.22,broken clouds
37,Bambous Virieux,MU,-20.34,57.76,66.2,82,40,5.82,scattered clouds
38,Atambua,ID,-9.11,124.89,74.88,79,55,3.44,broken clouds
39,Guerrero Negro,MX,27.98,-114.06,79.97,33,99,7.61,overcast clouds
40,Isangel,VU,-19.55,169.27,76.57,74,81,16.31,broken clouds
41,Avarua,CK,-21.21,-159.78,75.2,78,100,10.29,overcast clouds
42,Nikolskoye,RU,59.7,30.79,39.0,86,37,3.15,fog
43,Cape Town,ZA,-33.93,18.42,62.01,59,0,14.99,clear sky
44,Noumea,NC,-22.28,166.46,80.01,54,0,2.24,clear sky
45,New Norfolk,AU,-42.78,147.06,51.01,70,33,2.19,scattered clouds
46,Iqaluit,CA,63.75,-68.51,19.4,73,75,16.11,light snow
47,Meiganga,CM,6.52,14.3,68.47,77,100,0.98,overcast clouds
48,Ewa Beach,US,21.32,-158.01,80.6,74,20,3.47,few clouds
49,Portland,US,45.52,-122.68,55.99,78,68,1.01,broken clouds
50,Aswan,EG,24.09,32.91,77.59,43,0,10.69,clear sky
51,Izvestkovyy,RU,48.98,131.55,34.14,96,100,4.16,overcast clouds
52,Bredasdorp,ZA,-34.53,20.04,59.0,77,0,5.82,clear sky
53,Bengkulu,ID,-3.8,102.27,75.67,88,100,4.21,light rain
54,Gualeguaychu,AR,-33.01,-58.52,71.01,58,0,11.99,clear sky
55,Chicama,PE,-7.84,-79.15,62.6,82,90,9.17,mist
56,Bubaque,GW,11.28,-15.83,84.51,69,72,10.27,broken clouds
57,Beringovskiy,RU,63.05,179.32,18.5,95,99,11.9,overcast clouds
58,Talnakh,RU,69.49,88.4,19.4,92,90,29.08,light shower snow
59,Auki,SB,-8.77,160.7,79.84,83,79,3.65,broken clouds
60,Atuona,PF,-9.8,-139.03,78.55,74,23,17.54,few clouds
61,Castro,BR,-24.79,-50.01,58.19,82,91,8.77,overcast clouds
62,Nanortalik,GL,60.14,-45.24,28.2,89,27,18.84,scattered clouds
63,Soyo,AO,-6.13,12.37,78.37,85,100,11.88,overcast clouds
64,Atar,MR,20.52,-13.05,89.37,13,0,10.13,clear sky
65,Itaqui,BR,-29.13,-56.55,72.81,60,13,15.52,few clouds
66,Bud,US,39.45,-86.18,57.0,50,1,6.93,clear sky
67,Victoria,HK,22.29,114.16,73.0,77,92,1.01,overcast clouds
68,Jiazi,CN,22.88,116.07,67.1,77,69,12.21,broken clouds
69,Margate,GB,51.38,1.39,51.01,83,50,3.0,scattered clouds
70,Saint-Augustin,CA,51.23,-58.65,31.68,76,0,10.65,clear sky
71,Tyret Pervaya,RU,53.67,102.31,15.91,87,0,9.89,clear sky
72,Caconda,AO,-13.73,15.07,62.44,88,100,1.23,overcast clouds
73,Pevek,RU,69.7,170.31,13.1,96,71,11.23,broken clouds
74,Kodiak,US,57.79,-152.41,33.8,55,1,3.36,clear sky
