City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sao Filipe,CV,2020-10-31 00:32:46,14.9,-24.5,81.32,59,100,15.28
1,Mataura,NZ,2020-10-31 00:32:46,-46.19,168.86,54.0,98,100,13.0
2,Pangnirtung,CA,2020-10-31 00:32:46,66.15,-65.71,8.55,79,78,3.4
3,Puerto Ayora,EC,2020-10-31 00:28:40,-0.74,-90.35,70.0,92,65,3.0
4,Severnoye,RU,2020-10-31 00:32:46,56.35,78.36,33.31,97,100,7.72
5,Atar,MR,2020-10-31 00:32:09,20.52,-13.05,82.89,16,10,7.99
6,Kanigoro,ID,2020-10-31 00:32:47,-8.13,112.22,81.28,72,89,5.93
7,Oranjestad,AW,2020-10-31 00:30:50,12.52,-70.03,82.4,83,40,9.17
8,Thompson,CA,2020-10-31 00:32:47,55.74,-97.86,19.4,67,90,5.82
9,Arraial Do Cabo,BR,2020-10-31 00:32:48,-22.97,-42.03,70.47,88,100,32.44
10,Bredasdorp,ZA,2020-10-31 00:28:30,-34.53,20.04,48.2,81,0,2.24
11,Alenquer,BR,2020-10-31 00:32:48,-1.94,-54.74,78.8,88,20,3.36
12,Bluff,NZ,2020-10-31 00:28:31,-46.6,168.33,54.0,98,100,13.0
13,Sarkand,KZ,2020-10-31 00:32:48,45.41,79.92,37.47,68,20,1.68
14,Takestan,IR,2020-10-31 00:32:48,36.07,49.7,51.8,43,0,4.7
15,Kloulklubed,PW,2020-10-31 00:32:48,7.04,134.26,82.4,83,75,20.8
16,Klaksvik,FO,2020-10-31 00:32:48,62.23,-6.59,48.2,87,25,14.99
17,Yellowknife,CA,2020-10-31 00:30:03,62.46,-114.35,16.0,85,75,5.82
18,Codrington,AU,2020-10-31 00:32:49,-38.27,141.97,56.03,79,100,12.46
19,Avarua,CK,2020-10-31 00:32:49,-21.21,-159.78,77.0,73,99,8.05
20,Port Moresby,PG,2020-10-31 00:32:49,-9.44,147.18,84.2,70,20,3.36
21,Kaitangata,NZ,2020-10-31 00:28:50,-46.28,169.85,57.99,88,100,18.01
22,Sibolga,ID,2020-10-31 00:29:20,1.74,98.78,77.81,75,95,2.53
23,Dikson,RU,2020-10-31 00:30:52,73.51,80.55,13.73,96,91,27.67
24,Dalvik,IS,2020-10-31 00:32:49,65.97,-18.53,37.4,86,75,10.29
25,Kropotkin,RU,2020-10-31 00:32:49,45.44,40.58,63.0,70,99,4.12
26,Barrow,US,2020-10-31 00:32:32,71.29,-156.79,12.2,92,90,8.05
27,Atuona,PF,2020-10-31 00:32:49,-9.8,-139.03,78.04,73,41,11.12
28,Caravelas,BR,2020-10-31 00:32:49,-17.71,-39.25,76.1,83,21,7.67
29,Punta Arenas,CL,2020-10-31 00:30:44,-53.15,-70.92,51.8,62,75,25.28
30,Saint-Philippe,RE,2020-10-31 00:32:49,-21.36,55.77,66.2,59,90,8.05
31,Albany,US,2020-10-31 00:32:22,42.6,-73.97,33.01,88,97,2.75
32,Sorland,NO,2020-10-31 00:32:49,67.67,12.69,42.24,88,100,27.94
33,Tasiilaq,GL,2020-10-31 00:28:47,65.61,-37.64,33.8,86,100,33.33
34,Kapit,MY,2020-10-31 00:32:50,2.02,112.93,84.47,69,77,1.36
35,Bengkulu,ID,2020-10-31 00:32:50,-3.8,102.27,79.29,80,97,2.17
36,Ushuaia,AR,2020-10-31 00:30:42,-54.8,-68.3,50.0,71,75,16.11
37,Chippewa Falls,US,2020-10-31 00:32:50,44.94,-91.39,35.6,55,1,3.36
38,Kavaratti,IN,2020-10-31 00:32:41,10.57,72.64,82.63,70,36,9.06
39,Tuktoyaktuk,CA,2020-10-31 00:31:13,69.45,-133.04,5.0,92,75,8.05
40,Antofagasta,CL,2020-10-31 00:31:37,-23.65,-70.4,59.0,77,90,13.87
41,Baruun-Urt,MN,2020-10-31 00:29:18,46.68,113.28,32.31,86,66,17.54
42,Rawson,AR,2020-10-31 00:32:50,-43.3,-65.1,63.64,32,0,12.84
43,Ribeira Grande,PT,2020-10-31 00:32:50,38.52,-28.7,68.95,92,100,14.09
44,Atambua,ID,2020-10-31 00:32:50,-9.11,124.89,87.37,48,6,1.48
